,date,num_75_market_share,num_95_market_share,num_99_market_share,num_exchange,top_10_percent_total,top_10_total,total,market_share_top_10,market_share_top_10_percent,avg_volume_per_exchange
0,2015-01-01,3,11,18,53.0,15521879.0,17324638.0,18348975.0,0.9441747018566432,0.84592621658703,346207.07547169813
1,2015-02-01,3,8,17,56.0,22677677.0,24160611.0,25026997.0,0.9653819433470184,0.906128569879958,446910.66071428574
2,2015-03-01,3,7,15,55.0,50464824.0,53004923.0,54529810.0,0.9720357177111015,0.9254538755957521,991451.0909090909
3,2015-04-01,3,11,17,51.0,12801124.0,13889743.0,14667781.0,0.9469559846850727,0.8727376008681886,287603.54901960783
4,2015-05-01,4,14,23,53.0,11047528.0,12485110.0,13584146.0,0.9190942146823216,0.81326628851015,256304.64150943398
5,2015-06-01,5,13,23,58.0,14735829.0,16531695.0,17731630.0,0.9323279924067894,0.8310476250632345,305717.7586206897
6,2015-07-01,6,15,24,57.0,14599778.0,18097903.0,19889872.0,0.9099054533885387,0.7340307670154941,348945.1228070175
7,2015-08-01,3,13,23,62.0,36691300.0,38457443.0,41122459.0,0.9351931750968492,0.8922447949914668,663265.4677419355
8,2015-09-01,6,15,24,62.0,16680894.0,18363312.0,20256057.0,0.9065590603343977,0.8235015333931969,326710.5967741936
9,2015-10-01,7,19,28,60.0,6218545.0,7413913.0,8741823.0,0.8480969015272901,0.7113556291405122,145697.05
10,2015-11-01,5,13,22,56.0,20642839.0,24540436.0,26592560.0,0.9228308970629379,0.7762636993204114,474867.14285714284
11,2015-12-01,5,13,22,56.0,20642839.0,24540436.0,26592560.0,0.9228308970629379,0.7762636993204114,474867.14285714284
12,2016-01-01,6,12,19,58.0,64822025.0,82803459.0,88284312.0,0.9379181547000106,0.734241718959083,1522143.3103448276
13,2016-02-01,6,12,19,58.0,64822025.0,82803459.0,88284312.0,0.9379181547000106,0.734241718959083,1522143.3103448276
14,2016-03-01,6,12,19,58.0,64822025.0,82803459.0,88284312.0,0.9379181547000106,0.734241718959083,1522143.3103448276
15,2016-04-01,7,15,23,61.0,28194188.0,33923688.0,38624639.0,0.878291393221824,0.7299534372347144,633190.8032786886
16,2016-05-01,6,15,25,67.0,47244020.0,53747157.0,60163683.0,0.893348849670656,0.7852581099464938,897965.4179104478
17,2016-06-01,8,20,29,68.0,55668233.0,69304843.0,82726992.0,0.8377536922894525,0.6729149900675707,1216573.4117647058
18,2016-07-01,10,19,28,67.0,52588008.0,67700325.0,86181954.0,0.7855510563151075,0.6101974434230164,1286297.8208955224
19,2016-08-01,5,13,24,72.0,330921352.0,363802015.0,393104905.0,0.925457836757341,0.8418143548730332,5459790.347222222
20,2016-09-01,9,20,30,74.0,43004714.0,48924066.0,60722488.0,0.8056992987507363,0.7082172588185122,820574.1621621621
21,2016-10-01,11,27,39,87.0,35377459.0,38800839.0,52794473.0,0.7349413072084269,0.6700977770911739,606833.0229885058
22,2016-11-01,11,27,39,88.0,79693061.0,91194759.0,126176065.0,0.722757989005284,0.6316020475040175,1433818.9204545454
23,2016-12-01,12,29,41,89.0,46062994.0,50405325.0,70748704.0,0.7124558069643226,0.6510789794820835,794929.2584269663
24,2017-01-01,9,25,38,89.0,75759944.0,82483824.0,104699255.0,0.7878167232422045,0.7235958269235058,1176396.1235955057
25,2017-02-01,10,26,40,93.0,118896932.0,124725145.0,163310621.0,0.7637295372234241,0.7280416379042487,1756028.182795699
26,2017-03-01,11,28,44,102.0,160236244.0,160236244.0,213820472.0,0.7493961756851795,0.7493961756851795,2096279.137254902
27,2017-04-01,9,23,41,102.0,415921896.0,415921896.0,536744634.0,0.7748971664614722,0.7748971664614722,5262202.294117647
28,2017-05-01,9,22,42,107.0,598749787.0,598749787.0,756380709.0,0.791598436971771,0.791598436971771,7068978.588785047
29,2017-06-01,10,22,38,115.0,2679257259.0,2562168929.0,3370728730.0,0.7601231467238243,0.7948599467985072,29310684.608695652
30,2017-07-01,12,25,41,122.0,1676574217.0,1528320647.0,2199634324.0,0.6948066914234968,0.762205880635276,18029789.540983606
31,2017-08-01,11,27,51,126.0,926935759.0,856224319.0,1165771762.0,0.7344699424963426,0.7951262753266106,9252156.841269841
32,2017-09-01,13,29,54,139.0,3575995144.0,3163159247.0,4603707702.0,0.6870895051885725,0.7767641595591466,33120199.29496403
33,2017-10-01,10,29,55,138.0,2344845273.0,2148423750.0,2820988102.0,0.7615855410651428,0.831214166177295,20441942.76811594
34,2017-11-01,9,26,53,136.0,5753103420.0,5258434370.0,6625510447.0,0.793664791877431,0.8683260657456179,48716988.580882356
35,2017-12-01,11,28,61,146.0,9855071086.0,8669414473.0,11577447418.0,0.748819161944217,0.8512300449473741,79297585.05479452
36,2018-01-01,9,30,61,150.0,19204694813.0,17390479027.0,22184261636.0,0.7839106530721408,0.865690061184419,147895077.57333332
37,2018-02-01,11,37,66,154.0,9941943636.0,8988641812.0,12174006386.0,0.7383470590533663,0.8166533941885514,79051989.51948053
38,2018-03-01,10,35,66,167.0,8544479207.0,7564641294.0,10074896541.0,0.7508405930736396,0.8480959752021339,60328721.80239521
39,2018-04-01,9,33,74,184.0,11035705347.0,9760260392.0,12398007206.0,0.7872442909435102,0.8901192880142289,67380473.94565217
